class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RMISecurityException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Error);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Error;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String,java.lang.Throwable)>(r1, r2);;NullAllowed pattern detected param is  :r2
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.Exception);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.Exception;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;; * ;; * ;;*;;r2;;1;;;;;;
