class name;;Method name;;number of detected pattern
java.net.SocketPermission;;equals;;1
java.net.SocketPermission;;writeObject;;1
java.net.SocketPermission;;readObject;;1
java.net.CookieManager;;isInPortList;;1
java.net.CookieManager;;sortByPath;;1
java.net.HttpCookie;;<init>;;1
java.net.HttpCookie;;parse;;1
java.net.HttpCookie;;equals;;1
java.net.HttpCookie;;isToken;;1
java.net.HttpCookie;;assignAttribute;;1
java.net.HttpCookie;;guessCookieVersion;;1
java.net.HttpCookie;;splitMultiCookies;;1
java.net.HttpCookie;;access$000;;1
java.net.HttpCookie;;access$200;;1
java.net.InMemoryCookieStore;;add;;1
java.net.InMemoryCookieStore;;get;;1
java.net.InMemoryCookieStore;;remove;;1
java.net.InMemoryCookieStore;;getInternal1;;2
java.net.InMemoryCookieStore;;getInternal2;;3
java.net.InMemoryCookieStore;;addIndex;;1
java.net.InMemoryCookieStore;;getEffectiveURI;;1
java.net.DatagramSocket;;connectInternal;;1
java.net.DatagramSocket;;<init>;;1
java.net.DatagramSocket;;connect;;1
java.net.DatagramSocket;;send;;1
java.net.Inet4Address;;numericToTextFormat;;1
java.net.MulticastSocket;;joinGroup;;1
java.net.MulticastSocket;;leaveGroup;;1
java.net.MulticastSocket;;send;;1
java.net.Inet6Address;;<init>;;1
java.net.Inet6Address;;initif;;1
java.net.Inet6Address;;differentLocalAddressTypes;;1
java.net.Inet6Address;;deriveNumericScope;;1
java.net.Inet6Address;;readObject;;1
java.net.Inet6Address;;numericToTextFormat;;1
java.net.Inet6Address;;writeObject;;1
java.net.DualStackPlainDatagramSocketImpl;;bind0;;1
java.net.DualStackPlainDatagramSocketImpl;;peek;;1
java.net.DualStackPlainDatagramSocketImpl;;peekData;;1
java.net.DualStackPlainDatagramSocketImpl;;receive0;;1
java.net.DualStackPlainDatagramSocketImpl;;send;;1
java.net.DualStackPlainDatagramSocketImpl;;connect0;;1
java.net.DualStackPlainDatagramSocketImpl;;socketSetOption;;1
java.net.TwoStacksPlainDatagramSocketImpl;;bind;;1
java.net.DualStackPlainSocketImpl;;socketConnect;;1
java.net.DualStackPlainSocketImpl;;socketBind;;1
java.net.DualStackPlainSocketImpl;;socketAccept;;1
java.net.DualStackPlainSocketImpl;;socketSetOption;;1
java.net.HttpURLConnection;;setRequestMethod;;1
java.net.IDN;;toASCII;;1
java.net.IDN;;toUnicode;;1
java.net.IDN;;searchDots;;1
java.net.IDN;;isAllASCII;;1
java.net.IDN;;startsWithACEPrefix;;1
java.net.IDN;;toASCIILower;;1
java.net.Inet4AddressImpl;;isReachable;;1
java.net.Inet6AddressImpl;;isReachable;;1
java.net.JarURLConnection;;parseSpecs;;1
java.net.PlainSocketImpl;;accept;;1
java.net.TwoStacksPlainSocketImpl;;bind;;1
java.net.SocksSocketImpl;;<init>;;1
