class name;;Method name;;method Declaration;;number of detected pattern
java.io.PipedInputStream;;read;;public synchronized int read(byte[], int, int) throws java.io.IOException;;1
java.io.PipedOutputStream;;connect;;public synchronized void connect(java.io.PipedInputStream) throws java.io.IOException;;1
java.io.PipedOutputStream;;write;;public void write(byte[], int, int) throws java.io.IOException;;1
java.io.PipedReader;;connect;;public void connect(java.io.PipedWriter) throws java.io.IOException;;1
java.io.PipedReader;;receive;;synchronized void receive(char[], int, int) throws java.io.IOException;;1
java.io.PipedReader;;read;;public synchronized int read(char[], int, int) throws java.io.IOException;;1
java.io.PipedWriter;;connect;;public synchronized void connect(java.io.PipedReader) throws java.io.IOException;;1
java.io.RandomAccessFile;;<init>;;public void <init>(java.io.File, java.lang.String) throws java.io.FileNotFoundException;;1
java.io.RandomAccessFile;;writeBytes;;public final void writeBytes(java.lang.String) throws java.io.IOException;;1
java.io.RandomAccessFile;;writeChars;;public final void writeChars(java.lang.String) throws java.io.IOException;;1
java.io.SequenceInputStream;;read;;public int read(byte[], int, int) throws java.io.IOException;;1
java.io.StreamTokenizer;;<init>;;public void <init>(java.io.InputStream);;1
java.io.StreamTokenizer;;<init>;;public void <init>(java.io.Reader);;1
java.io.StringBufferInputStream;;<init>;;public void <init>(java.lang.String);;1
java.io.StringBufferInputStream;;read;;public synchronized int read(byte[], int, int);;1
java.io.StringReader;;<init>;;public void <init>(java.lang.String);;1
java.io.StringWriter;;write;;public void write(java.lang.String, int, int);;1
java.io.Win32FileSystem;;normalize;;public java.lang.String normalize(java.lang.String);;1
java.io.Win32FileSystem;;prefixLength;;public int prefixLength(java.lang.String);;1
java.io.Win32FileSystem;;resolve;;public java.lang.String resolve(java.lang.String, java.lang.String);;2
java.io.Win32FileSystem;;fromURIPath;;public java.lang.String fromURIPath(java.lang.String);;1
java.io.Win32FileSystem;;isAbsolute;;public boolean isAbsolute(java.io.File);;1
java.io.Win32FileSystem;;resolve;;public java.lang.String resolve(java.io.File);;1
java.io.Win32FileSystem;;canonicalize;;public java.lang.String canonicalize(java.lang.String) throws java.io.IOException;;1
java.io.Win32FileSystem;;getSpace;;public long getSpace(java.io.File, int);;1
java.io.Win32FileSystem;;compare;;public int compare(java.io.File, java.io.File);;2
java.io.Win32FileSystem;;hashCode;;public int hashCode(java.io.File);;1
java.io.WinNTFileSystem;;getSpace;;public long getSpace(java.io.File, int);;1
