class name;;number of detected pattern
org.jhotdraw.undo.NonUndoableEdit;;0
net.n3.nanoxml.XMLEntityResolver;;1
org.jhotdraw.draw.BoxHandleKit;;2
org.jhotdraw.app.action.AboutAction;;0
org.jhotdraw.draw.DragTracker;;4
org.jhotdraw.app.action.ExitAction;;4
org.jhotdraw.draw.StickyChopConnector;;5
org.jhotdraw.util.LocaleUtil;;0
net.n3.nanoxml.StdXMLReader;;2
org.jhotdraw.draw.action.SelectSameAction;;0
org.jhotdraw.app.action.LoadAction;;4
org.jhotdraw.app.action.CutAction;;0
org.jhotdraw.app.action.CopyAction;;0
org.jhotdraw.util.prefs.ToolBarPrefsHandler;;2
org.jhotdraw.draw.BorderRectangleFigure;;0
net.n3.nanoxml.XMLParseException;;0
org.jhotdraw.draw.TextAreaFigure;;11
net.n3.nanoxml.CDATAReader;;1
org.jhotdraw.draw.ChopRoundRectConnector;;0
org.jhotdraw.samples.pert.figures.DependencyFigure;;6
org.jhotdraw.util.Methods;;14
org.jhotdraw.app.action.ExportAction;;3
org.jhotdraw.draw.GeometryEdit;;0
org.jhotdraw.app.action.MinimizeAction;;0
org.jhotdraw.samples.pert.PertFactory;;0
org.jhotdraw.app.action.SaveAsAction;;0
net.n3.nanoxml.XMLWriter;;2
org.jhotdraw.samples.svg.figures.SVGImage;;3
org.jhotdraw.draw.ChangeConnectionEndHandle;;0
org.jhotdraw.samples.svg.figures.SVGPath;;5
org.jhotdraw.draw.DrawingEvent;;0
org.jhotdraw.gui.MDIDesktopPane;;2
org.jhotdraw.draw.BezierPointLocator;;3
net.n3.nanoxml.StdXMLParser;;4
org.jhotdraw.samples.net.NetFactory;;0
org.jhotdraw.app.AbstractApplication;;3
org.jhotdraw.draw.action.MoveToBackAction;;3
org.jhotdraw.samples.draw.DrawApplicationModel;;3
org.jhotdraw.draw.action.Colors;;1
org.jhotdraw.samples.net.NetApplicationModel;;3
net.n3.nanoxml.ValidatorPlugin;;0
org.jhotdraw.app.action.ProjectPropertyAction;;6
org.jhotdraw.draw.AbstractCompositeFigure;;13
org.jhotdraw.samples.draw.DrawingPanelBeanInfo;;0
org.jhotdraw.draw.action.ApplyAttributesAction;;0
org.jhotdraw.draw.ChopDiamondConnector;;1
org.jhotdraw.geom.Dimension2DDouble;;3
org.jhotdraw.draw.action.ImageBevelBorder;;2
org.jhotdraw.xml.JavaxDOMOutput;;3
org.jhotdraw.util.prefs.PreferencesUtil;;7
net.n3.nanoxml.XMLValidationException;;0
org.jhotdraw.draw.TriangleRotationHandler;;0
org.jhotdraw.app.action.LoadRecentAction;;4
org.jhotdraw.app.action.DeleteAction;;0
org.jhotdraw.xml.JavaxDOMInput;;2
org.jhotdraw.samples.svg.Main;;0
org.jhotdraw.draw.ListFigure;;0
org.jhotdraw.draw.BezierLabelLocator;;5
org.jhotdraw.draw.QuadTreeDrawing;;13
org.jhotdraw.draw.CompositeTransformEdit;;2
org.jhotdraw.app.action.ArrangeAction;;1
org.jhotdraw.samples.draw.DrawLiveConnectApplet;;0
org.jhotdraw.draw.LabeledLineConnectionFigure;;4
