class name;;Method name;;method Declaration;;number of detected pattern
java.nio.file.spi.FileSystemProvider;;newInputStream;;public transient java.io.InputStream newInputStream(java.nio.file.Path, java.nio.file.OpenOption[]) throws java.io.IOException;;1
java.nio.file.spi.FileSystemProvider;;newOutputStream;;public transient java.io.OutputStream newOutputStream(java.nio.file.Path, java.nio.file.OpenOption[]) throws java.io.IOException;;1
java.nio.channels.FileChannel;;open;;public static transient java.nio.channels.FileChannel open(java.nio.file.Path, java.util.Set, java.nio.file.attribute.FileAttribute[]) throws java.io.IOException;;1
java.nio.channels.Channels;;newChannel;;public static java.nio.channels.ReadableByteChannel newChannel(java.io.InputStream);;1
java.nio.channels.Channels;;newChannel;;public static java.nio.channels.WritableByteChannel newChannel(java.io.OutputStream);;1
java.nio.channels.Channels;;newReader;;public static java.io.Reader newReader(java.nio.channels.ReadableByteChannel, java.nio.charset.CharsetDecoder, int);;1
java.nio.channels.Channels;;newWriter;;public static java.io.Writer newWriter(java.nio.channels.WritableByteChannel, java.nio.charset.CharsetEncoder, int);;1
java.nio.charset.CharsetDecoder;;replaceWith;;public final java.nio.charset.CharsetDecoder replaceWith(java.lang.String);;1
java.nio.charset.CharsetDecoder;;onMalformedInput;;public final java.nio.charset.CharsetDecoder onMalformedInput(java.nio.charset.CodingErrorAction);;1
java.nio.charset.CharsetDecoder;;onUnmappableCharacter;;public final java.nio.charset.CharsetDecoder onUnmappableCharacter(java.nio.charset.CodingErrorAction);;1
java.nio.charset.CharsetDecoder;;decode;;public final java.nio.charset.CoderResult decode(java.nio.ByteBuffer, java.nio.CharBuffer, boolean);;2
java.nio.charset.CharsetDecoder;;decode;;public final java.nio.CharBuffer decode(java.nio.ByteBuffer) throws java.nio.charset.CharacterCodingException;;1
java.nio.charset.CharsetEncoder;;replaceWith;;public final java.nio.charset.CharsetEncoder replaceWith(byte[]);;1
java.nio.charset.CharsetEncoder;;onMalformedInput;;public final java.nio.charset.CharsetEncoder onMalformedInput(java.nio.charset.CodingErrorAction);;1
java.nio.charset.CharsetEncoder;;onUnmappableCharacter;;public final java.nio.charset.CharsetEncoder onUnmappableCharacter(java.nio.charset.CodingErrorAction);;1
java.nio.charset.CharsetEncoder;;encode;;public final java.nio.charset.CoderResult encode(java.nio.CharBuffer, java.nio.ByteBuffer, boolean);;2
java.nio.charset.CharsetEncoder;;encode;;public final java.nio.ByteBuffer encode(java.nio.CharBuffer) throws java.nio.charset.CharacterCodingException;;1
java.nio.charset.CharsetEncoder;;canEncode;;public boolean canEncode(java.lang.CharSequence);;1
java.nio.channels.spi.AbstractSelectableChannel;;removeKey;;void removeKey(java.nio.channels.SelectionKey);;1
java.nio.channels.spi.AbstractSelectableChannel;;register;;public final java.nio.channels.SelectionKey register(java.nio.channels.Selector, int, java.lang.Object) throws java.nio.channels.ClosedChannelException;;1
java.nio.channels.spi.AbstractSelector;;deregister;;protected final void deregister(java.nio.channels.spi.AbstractSelectionKey);;1
java.nio.file.CopyMoveHelper;;copyToForeignTarget;;static transient void copyToForeignTarget(java.nio.file.Path, java.nio.file.Path, java.nio.file.CopyOption[]) throws java.io.IOException;;1
java.nio.file.Files;;newDirectoryStream;;public static java.nio.file.DirectoryStream newDirectoryStream(java.nio.file.Path, java.lang.String) throws java.io.IOException;;2
java.nio.file.Files;;createDirectories;;public static transient java.nio.file.Path createDirectories(java.nio.file.Path, java.nio.file.attribute.FileAttribute[]) throws java.io.IOException;;1
java.nio.file.Files;;getAttribute;;public static transient java.lang.Object getAttribute(java.nio.file.Path, java.lang.String, java.nio.file.LinkOption[]) throws java.io.IOException;;1
java.nio.file.Files;;newBufferedReader;;public static java.io.BufferedReader newBufferedReader(java.nio.file.Path, java.nio.charset.Charset) throws java.io.IOException;;1
java.nio.file.Files;;newBufferedWriter;;public static transient java.io.BufferedWriter newBufferedWriter(java.nio.file.Path, java.nio.charset.Charset, java.nio.file.OpenOption[]) throws java.io.IOException;;1
java.nio.file.Files;;copy;;public static transient long copy(java.io.InputStream, java.nio.file.Path, java.nio.file.CopyOption[]) throws java.io.IOException;;1
java.nio.file.Files;;write;;public static transient java.nio.file.Path write(java.nio.file.Path, java.lang.Iterable, java.nio.charset.Charset, java.nio.file.OpenOption[]) throws java.io.IOException;;2
java.nio.file.attribute.FileTime;;to;;public long 'to'(java.util.concurrent.TimeUnit);;1
java.nio.file.attribute.FileTime;;compareTo;;public int compareTo(java.nio.file.attribute.FileTime);;1
java.nio.file.FileTreeWalker;;<init>;;void <init>(java.util.Set, java.nio.file.FileVisitor, int);;1
java.nio.file.FileSystems;;getFileSystem;;public static java.nio.file.FileSystem getFileSystem(java.net.URI);;1
java.nio.file.FileSystems;;newFileSystem;;public static java.nio.file.FileSystem newFileSystem(java.net.URI, java.util.Map, java.lang.ClassLoader) throws java.io.IOException;;1
java.nio.file.FileSystems;;newFileSystem;;public static java.nio.file.FileSystem newFileSystem(java.nio.file.Path, java.lang.ClassLoader) throws java.io.IOException;;1
java.nio.file.Paths;;get;;public static java.nio.file.Path get(java.net.URI);;1
java.nio.file.attribute.AclEntry;;newBuilder;;public static java.nio.file.attribute.AclEntry$Builder newBuilder(java.nio.file.attribute.AclEntry);;1
java.nio.file.attribute.PosixFilePermissions;;toString;;public static java.lang.String toString(java.util.Set);;1
java.nio.file.attribute.PosixFilePermissions;;fromString;;public static java.util.Set fromString(java.lang.String);;1
