class name;;Method name;;method Declaration;;number of detected pattern
java.net.DualStackPlainDatagramSocketImpl;;peekData;;protected synchronized int peekData(java.net.DatagramPacket) throws java.io.IOException;;1
java.net.DualStackPlainDatagramSocketImpl;;receive0;;protected synchronized void receive0(java.net.DatagramPacket) throws java.io.IOException;;1
java.net.DualStackPlainDatagramSocketImpl;;send;;protected void send(java.net.DatagramPacket) throws java.io.IOException;;1
java.net.DualStackPlainDatagramSocketImpl;;connect0;;protected void connect0(java.net.InetAddress, int) throws java.net.SocketException;;1
java.net.DualStackPlainDatagramSocketImpl;;socketSetOption;;protected void socketSetOption(int, java.lang.Object) throws java.net.SocketException;;1
java.net.TwoStacksPlainDatagramSocketImpl;;bind;;protected synchronized void bind(int, java.net.InetAddress) throws java.net.SocketException;;1
java.net.DualStackPlainSocketImpl;;socketConnect;;void socketConnect(java.net.InetAddress, int, int) throws java.io.IOException;;1
java.net.DualStackPlainSocketImpl;;socketBind;;void socketBind(java.net.InetAddress, int) throws java.io.IOException;;1
java.net.DualStackPlainSocketImpl;;socketAccept;;void socketAccept(java.net.SocketImpl) throws java.io.IOException;;1
java.net.DualStackPlainSocketImpl;;socketSetOption;;void socketSetOption(int, boolean, java.lang.Object) throws java.net.SocketException;;1
java.net.HttpURLConnection;;setRequestMethod;;public void setRequestMethod(java.lang.String) throws java.net.ProtocolException;;1
java.net.IDN;;toASCII;;public static java.lang.String toASCII(java.lang.String, int);;1
java.net.IDN;;toUnicode;;public static java.lang.String toUnicode(java.lang.String, int);;1
java.net.Inet4AddressImpl;;isReachable;;public boolean isReachable(java.net.InetAddress, int, java.net.NetworkInterface, int) throws java.io.IOException;;1
java.net.Inet6AddressImpl;;isReachable;;public boolean isReachable(java.net.InetAddress, int, java.net.NetworkInterface, int) throws java.io.IOException;;1
java.net.PlainSocketImpl;;accept;;protected synchronized void accept(java.net.SocketImpl) throws java.io.IOException;;1
java.net.TwoStacksPlainSocketImpl;;bind;;protected synchronized void bind(java.net.InetAddress, int) throws java.io.IOException;;1
java.net.SocksSocketImpl;;<init>;;void <init>(java.net.Proxy);;1
java.net.SocksSocketImpl;;socksBind;;protected synchronized void socksBind(java.net.InetSocketAddress) throws java.io.IOException;;1
java.net.SocksSocketImpl;;acceptFrom;;protected void acceptFrom(java.net.SocketImpl, java.net.InetSocketAddress) throws java.io.IOException;;1
java.net.URLClassLoader;;definePackage;;protected java.lang.Package definePackage(java.lang.String, java.util.jar.Manifest, java.net.URL) throws java.lang.IllegalArgumentException;;2
java.net.URLClassLoader;;getPermissions;;protected java.security.PermissionCollection getPermissions(java.security.CodeSource);;1
java.net.URLDecoder;;decode;;public static java.lang.String decode(java.lang.String, java.lang.String) throws java.io.UnsupportedEncodingException;;2
java.net.URLEncoder;;encode;;public static java.lang.String encode(java.lang.String, java.lang.String) throws java.io.UnsupportedEncodingException;;2
