class name;;Method name;;number of detected pattern
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;2
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;format;;1
java.text.DecimalFormat;;formatToCharacterIterator;;1
java.text.DecimalFormat;;subformat;;2
java.text.DecimalFormat;;append;;4
java.text.DecimalFormat;;parse;;2
java.text.DecimalFormat;;subparse;;6
java.text.DecimalFormat;;setDecimalFormatSymbols;;1
java.text.DecimalFormat;;expandAffix;;2
java.text.DecimalFormat;;expandAffix;;1
java.text.DecimalFormat;;appendAffix;;1
java.text.DecimalFormat;;appendAffix;;2
java.text.DecimalFormat;;applyPattern;;1
java.text.DecimalFormat;;setRoundingMode;;1
java.text.DecimalFormat;;readObject;;1
java.text.DigitList;;set;;1
java.text.DigitList;;set;;1
java.text.DigitList;;set;;1
java.text.DigitList;;equals;;1
java.text.DigitList;;parseInt;;1
java.text.DecimalFormatSymbols;;setCurrency;;1
java.text.DecimalFormatSymbols;;setExponentSeparator;;1
java.text.DecimalFormatSymbols;;initialize;;1
java.text.DecimalFormatSymbols;;readObject;;1
java.text.MergeCollation;;fixEntry;;1
java.text.MergeCollation;;findLastEntry;;1
java.text.PatternEntry;;addToBuffer;;1
java.text.PatternEntry;;appendQuoted;;2
java.text.PatternEntry;;<init>;;2
java.text.Normalizer;;normalize;;1
java.text.Normalizer;;isNormalized;;1
java.text.RBTableBuilder;;build;;1
java.text.RBTableBuilder;;addContractOrder;;1
java.text.RBTableBuilder;;getContractOrder;;1
java.text.RBTableBuilder;;addExpandOrder;;1
java.text.RBTableBuilder;;addExpansion;;1
java.text.RBTableBuilder;;addContractFlags;;1
