class name;;Method name;;number of detected pattern
java.io.ObjectStreamClass;;writeNonProxy;;1
java.io.ObjectStreamClass;;getExternalizableConstructor;;1
java.io.ObjectStreamClass;;getSerializableConstructor;;1
java.io.ObjectStreamClass;;getInheritableMethod;;1
java.io.ObjectStreamClass;;getPrivateMethod;;1
java.io.ObjectStreamClass;;packageEquals;;2
java.io.ObjectStreamClass;;getPackageName;;1
java.io.ObjectStreamClass;;classNamesEqual;;2
java.io.ObjectStreamClass;;getClassSignature;;1
java.io.ObjectStreamClass;;getMethodSignature;;1
java.io.ObjectStreamClass;;getSerialFields;;1
java.io.ObjectStreamClass;;getDeclaredSerialFields;;1
java.io.ObjectStreamClass;;getDefaultSerialFields;;1
java.io.ObjectStreamClass;;getDeclaredSUID;;1
java.io.ObjectStreamClass;;computeDefaultSUID;;1
java.io.ObjectStreamClass;;matchFields;;2
java.io.ObjectStreamClass;;processQueue;;2
java.io.ObjectStreamClass;;access$000;;1
java.io.ObjectStreamClass;;access$400;;1
java.io.ObjectStreamClass;;access$502;;1
java.io.ObjectStreamClass;;access$602;;1
java.io.ObjectStreamClass;;access$900;;1
java.io.ObjectStreamClass;;access$1002;;1
java.io.ObjectStreamClass;;access$1102;;1
java.io.ObjectStreamClass;;access$1200;;1
java.io.ObjectStreamClass;;access$1302;;1
java.io.ObjectStreamClass;;access$1602;;1
java.io.ObjectStreamClass;;access$1802;;1
java.io.ObjectStreamClass;;access$1902;;1
java.io.ObjectStreamClass;;access$2002;;1
java.io.ObjectStreamClass;;access$1600;;1
java.io.ObjectStreamClass;;access$2102;;1
java.io.ObjectStreamClass;;access$2302;;1
java.io.FilePermission;;implies;;1
java.io.FilePermission;;impliesIgnoreMask;;1
java.io.FilePermission;;equals;;1
java.io.FilePermission;;writeObject;;1
java.io.FilePermission;;readObject;;1
java.io.FilePermission;;access$000;;1
java.io.InputStreamReader;;<init>;;1
java.io.InputStreamReader;;<init>;;1
java.io.InputStreamReader;;<init>;;1
java.io.OutputStreamWriter;;<init>;;1
java.io.OutputStreamWriter;;<init>;;1
java.io.OutputStreamWriter;;<init>;;1
java.io.LineNumberInputStream;;read;;1
java.io.LineNumberReader;;read;;1
java.io.PipedInputStream;;connect;;1
java.io.PipedInputStream;;read;;1
java.io.PipedOutputStream;;connect;;1
java.io.PipedOutputStream;;write;;1
java.io.PipedReader;;connect;;1
java.io.PipedReader;;receive;;1
java.io.PipedReader;;read;;1
java.io.PipedWriter;;connect;;1
java.io.RandomAccessFile;;<init>;;1
java.io.RandomAccessFile;;writeBytes;;1
java.io.RandomAccessFile;;writeChars;;1
java.io.SequenceInputStream;;read;;1
java.io.StreamTokenizer;;<init>;;1
java.io.StreamTokenizer;;<init>;;1
java.io.StringBufferInputStream;;<init>;;1
java.io.StringBufferInputStream;;read;;1
java.io.StringReader;;<init>;;1
java.io.StringWriter;;write;;1
