class name;;number of detected pattern;;;
org.jhotdraw.geom.Bezier;;0;;;
org.jhotdraw.samples.svg.SVGDrawing;;0;;;
org.jhotdraw.draw.action.AttributeToggler;;0;;;
org.jhotdraw.draw.LabelFigure;;0;;;
org.jhotdraw.draw.action.AbstractSelectedAction;;0;;;
org.jhotdraw.draw.action.GroupAction;;0;;;
org.jhotdraw.draw.action.JPopupButton;;0;;;
org.jhotdraw.draw.LineConnectionFigure;;0;;;
org.jhotdraw.undo.CompositeEdit;;0;;;
org.jhotdraw.samples.svg.figures.SVGEllipse;;0;;;
org.jhotdraw.draw.action.MoveAction;;0;;;
org.jhotdraw.draw.TextFigure;;0;;;
org.jhotdraw.draw.BezierTool;;0;;;
org.jhotdraw.draw.TriangleFigure;;0;;;
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;1;;;
org.jhotdraw.xml.DefaultDOMFactory;;0;;;
org.jhotdraw.util.Worker;;0;;;
org.jhotdraw.draw.VerticalLayouter;;0;;;
org.jhotdraw.samples.svg.action.SplitAction;;0;;;
org.jhotdraw.draw.TransformEdit;;0;;;
org.jhotdraw.draw.RotateHandle;;0;;;
org.jhotdraw.draw.BezierNodeEdit;;0;;;
org.jhotdraw.draw.action.GenericListener;;0;;;
org.jhotdraw.draw.action.ColorChooserAction;;0;;;
org.jhotdraw.draw.MoveHandle;;0;;;
org.jhotdraw.draw.GridConstrainer;;0;;;
org.jhotdraw.gui.event.SheetEvent;;0;;;
org.jhotdraw.draw.LocatorConnector;;0;;;
org.jhotdraw.draw.ChangeConnectionStartHandle;;0;;;
org.jhotdraw.draw.action.AttributeAction;;0;;;
org.jhotdraw.app.action.CloseAction;;0;;;
org.jhotdraw.draw.Options;;0;;;
org.jhotdraw.samples.net.figures.NodeFigure;;0;;;
org.jhotdraw.draw.FloatingTextArea;;0;;;
org.jhotdraw.draw.action.SwingWorker;;0;;;
org.jhotdraw.samples.pert.figures.TaskFigure;;0;;;
org.jhotdraw.draw.FigureSelectionEvent;;0;;;
org.jhotdraw.draw.action.ColorAttributeIcon;;0;;;
org.jhotdraw.samples.net.NetApplet;;1;;;
org.jhotdraw.draw.AttributeChangeEdit;;0;;;
org.jhotdraw.draw.DefaultDrawingViewBeanInfo;;0;;;
org.jhotdraw.samples.pert.PertPanel;;0;;;
org.jhotdraw.draw.action.StrokeIcon;;0;;;
org.jhotdraw.samples.draw.DrawProject;;1;;;
org.jhotdraw.draw.action.PickAttributesAction;;0;;;
org.jhotdraw.draw.DefaultDrawingView;;0;;;
org.jhotdraw.draw.RoundRectangleFigure;;0;;;
org.jhotdraw.samples.svg.figures.SVGLine;;0;;;
org.jhotdraw.draw.SelectAreaTracker;;0;;;
nanoxml.XMLElement;;0;;;
org.jhotdraw.xml.NanoXMLDOMInput;;0;;;
org.jhotdraw.geom.DoubleStroke;;0;;;
org.jhotdraw.io.ExtensionFileFilter;;0;;;
org.jhotdraw.undo.UndoRedoManager;;0;;;
org.jhotdraw.samples.svg.SVGPanel;;0;;;
org.jhotdraw.draw.action.ColorIcon;;0;;;
net.n3.nanoxml.NonValidator;;0;;;
org.jhotdraw.undo.NonUndoableEdit;;0;;;
net.n3.nanoxml.XMLEntityResolver;;0;;;
org.jhotdraw.draw.BoxHandleKit;;0;;;
