class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
*;; * ;; * ;;*;;r0;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r1;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.net.NetworkInterface;;getByInetAddress;;1;;public static java.net.NetworkInterface getByInetAddress(java.net.InetAddress) throws java.net.SocketException
*;; * ;; * ;;*;;r0;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r1;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.net.NetworkInterface;;equals;;1;;public boolean equals(java.lang.Object)
*;; * ;; * ;;*;;r1;;6
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r6 = r2.<java.net.NetworkInterface: java.lang.String name>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r7 = r2.<java.net.NetworkInterface: java.lang.String name>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r9 = r2.<java.net.NetworkInterface: java.net.InetAddress[] addrs>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r10 = r2.<java.net.NetworkInterface: java.net.InetAddress[] addrs>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
